Stock,Date,Open,High,Low,Close,Volume,PctChange
LT,17-11-2021,1949,1978.9,1943.55,1952.9,2170000,-0.12
LT,16-11-2021,1950,1979.95,1944,1955.3,2280000,0.42
LT,15-11-2021,1961.25,1974.5,1943,1947.05,1130000,-0.66
LT,12-11-2021,1940,1965,1928.1,1959.95,2030000,1.46
LT,11-11-2021,1947.85,1981.75,1925.65,1931.7,7060000,-0.95
LT,10-11-2021,1932.7,1954,1932,1950.15,3210000,0.34
LT,09-11-2021,1933.5,1964.1,1930.3,1943.6,3550000,0.99
LT,08-11-2021,1944.55,1953.9,1912.2,1924.55,3670000,0.82
LT,04-11-2021,1900,1920.85,1900,1908.95,764190,1.03
LT,03-11-2021,1818,1915,1818,1889.5,11580000,4.07
LT,02-11-2021,1800,1824.45,1795.4,1815.65,1690000,1.13
LT,01-11-2021,1776,1805,1751.2,1795.35,2320000,1.62
LT,29-10-2021,1822,1824.9,1735.8,1766.65,3980000,-2.62
LT,28-10-2021,1799.55,1862,1791,1814.25,6380000,1.66
LT,27-10-2021,1801,1814,1775.1,1784.55,1410000,-0.65
LT,26-10-2021,1785,1811.9,1781.55,1796.25,1930000,0.68
LT,25-10-2021,1792.25,1812.8,1760.35,1784.15,2490000,-0.45
LT,22-10-2021,1816,1831.5,1781.35,1792.25,1520000,-0.75
LT,21-10-2021,1815,1826.5,1791.05,1805.75,2770000,-0.05
LT,20-10-2021,1855,1868.65,1796.3,1806.7,3300000,-2.13
LT,19-10-2021,1809.8,1885,1802.05,1846.05,6640000,3.22
LT,18-10-2021,1807.15,1810.5,1782,1788.45,1920000,-0.05
LT,14-10-2021,1775,1817.9,1767.45,1789.3,4440000,2.13
LT,13-10-2021,1727,1763.9,1724.05,1752.05,2110000,1.97
LT,12-10-2021,1710.5,1725.55,1700,1718.2,1670000,0.08
LT,11-10-2021,1733.75,1746.85,1715,1716.9,1530000,-0.58
LT,08-10-2021,1740,1741,1720,1726.9,1760000,0.84
